uid,id_str,volume,chapter_no,subject_code,question_no,type,answer_mcq,answer_msq,answer_nat,tolerance_abs,source_pdf,source_page,source_line_index
v1:7.12.7,7.12.7,1,7,12,7,MCQ,B,,,,volume1,136,27
v1:7.12.8,7.12.8,1,7,12,8,MCQ,A,,,,volume1,136,27
v1:7.12.9,7.12.9,1,7,12,9,MCQ,A,,,,volume1,136,27
v1:7.12.10,7.12.10,1,7,12,10,MCQ,A,,,,volume1,136,27
v1:7.12.12,7.12.12,1,7,12,12,NAT,,,10.0,0.01,volume1,136,28
v1:7.12.22,7.12.22,1,7,12,22,MCQ,C,,,,volume1,136,30
v1:7.12.23,7.12.23,1,7,12,23,NAT,,,0.25,0.01,volume1,136,30
v1:7.12.24,7.12.24,1,7,12,24,MCQ,B,,,,volume1,136,30
v1:7.12.25,7.12.25,1,7,12,25,MCQ,B,,,,volume1,136,30
v1:7.12.26,7.12.26,1,7,12,26,MCQ,B,,,,volume1,136,31
v1:7.12.27,7.12.27,1,7,12,27,MCQ,B,,,,volume1,136,31
v1:7.13.1,7.13.1,1,7,13,1,MCQ,C,,,,volume1,136,31
v1:7.15.1,7.15.1,1,7,15,1,MCQ,C,,,,volume1,136,32
v1:7.15.2,7.15.2,1,7,15,2,MCQ,D,,,,volume1,136,32
v1:7.15.3,7.15.3,1,7,15,3,MCQ,C,,,,volume1,136,32
v1:7.15.4,7.15.4,1,7,15,4,NAT,,,0.75,0.01,volume1,136,32
v1:7.15.5,7.15.5,1,7,15,5,MCQ,C,,,,volume1,136,32
v1:8.1.1,8.1.1,1,8,1,1,MCQ,B,,,,volume1,171,0
v1:8.1.2,8.1.2,1,8,1,2,MCQ,D,,,,volume1,171,0
v1:8.2.1,8.2.1,1,8,2,1,MCQ,B,,,,volume1,171,0
v1:8.2.2,8.2.2,1,8,2,2,MCQ,C,,,,volume1,171,0
v1:8.2.3,8.2.3,1,8,2,3,MCQ,B,,,,volume1,171,0
v1:8.2.4,8.2.4,1,8,2,4,MCQ,C,,,,volume1,171,1
v1:8.2.5,8.2.5,1,8,2,5,MCQ,C,,,,volume1,171,1
v1:8.3.1,8.3.1,1,8,3,1,MCQ,B,,,,volume1,171,1
v1:8.4.1,8.4.1,1,8,4,1,MCQ,D,,,,volume1,171,1
v1:8.5.1,8.5.1,1,8,5,1,MCQ,A,,,,volume1,171,1
v1:8.5.2,8.5.2,1,8,5,2,MCQ,A,,,,volume1,171,2
v1:8.5.3,8.5.3,1,8,5,3,MCQ,D,,,,volume1,171,2
v1:8.5.4,8.5.4,1,8,5,4,MCQ,C,,,,volume1,171,2
v1:8.5.5,8.5.5,1,8,5,5,MCQ,C,,,,volume1,171,2
v1:8.5.6,8.5.6,1,8,5,6,MCQ,C,,,,volume1,171,2
v1:8.5.7,8.5.7,1,8,5,7,MCQ,D,,,,volume1,171,3
v1:8.5.8,8.5.8,1,8,5,8,MCQ,D,,,,volume1,171,3
v1:8.5.9,8.5.9,1,8,5,9,MCQ,C,,,,volume1,171,3
v1:8.5.10,8.5.10,1,8,5,10,MCQ,A,,,,volume1,171,3
v1:8.5.11,8.5.11,1,8,5,11,MCQ,C,,,,volume1,171,3
v1:8.5.12,8.5.12,1,8,5,12,MCQ,A,,,,volume1,171,4
v1:8.6.1,8.6.1,1,8,6,1,MCQ,A,,,,volume1,171,4
v1:8.6.2,8.6.2,1,8,6,2,MCQ,B,,,,volume1,171,4
v1:8.6.3,8.6.3,1,8,6,3,MCQ,B,,,,volume1,171,4
v1:8.6.4,8.6.4,1,8,6,4,MCQ,B,,,,volume1,171,4
v1:8.6.5,8.6.5,1,8,6,5,MCQ,D,,,,volume1,171,5
v1:8.6.6,8.6.6,1,8,6,6,MCQ,B,,,,volume1,171,5
v1:8.6.7,8.6.7,1,8,6,7,MCQ,D,,,,volume1,171,5
v1:8.7.1,8.7.1,1,8,7,1,MCQ,D,,,,volume1,171,5
v1:8.8.1,8.8.1,1,8,8,1,MCQ,B,,,,volume1,171,5
v1:8.9.1,8.9.1,1,8,9,1,MCQ,A,,,,volume1,171,6
v1:8.9.2,8.9.2,1,8,9,2,MCQ,C,,,,volume1,171,6
v1:8.9.3,8.9.3,1,8,9,3,MCQ,C,,,,volume1,171,6
v1:8.9.4,8.9.4,1,8,9,4,MCQ,B,,,,volume1,171,6
v1:8.9.5,8.9.5,1,8,9,5,MCQ,B,,,,volume1,171,6
v1:8.9.6,8.9.6,1,8,9,6,MCQ,C,,,,volume1,171,7
v1:8.9.7,8.9.7,1,8,9,7,MCQ,A,,,,volume1,171,7
v1:8.9.8,8.9.8,1,8,9,8,MCQ,C,,,,volume1,171,7
v1:8.9.9,8.9.9,1,8,9,9,MCQ,B,,,,volume1,171,7
v1:8.9.10,8.9.10,1,8,9,10,MCQ,D,,,,volume1,171,7
v1:8.9.11,8.9.11,1,8,9,11,MCQ,A,,,,volume1,171,8
v1:8.9.12,8.9.12,1,8,9,12,MCQ,A,,,,volume1,171,8
v1:8.9.13,8.9.13,1,8,9,13,MCQ,B,,,,volume1,171,8
v1:8.9.14,8.9.14,1,8,9,14,MCQ,D,,,,volume1,171,8
v1:8.9.16,8.9.16,1,8,9,16,MCQ,D,,,,volume1,171,9
v1:8.9.17,8.9.17,1,8,9,17,MCQ,D,,,,volume1,171,9
v1:8.9.18,8.9.18,1,8,9,18,MCQ,B,,,,volume1,171,9
v1:8.9.19,8.9.19,1,8,9,19,MCQ,B,,,,volume1,171,9
v1:8.9.20,8.9.20,1,8,9,20,MCQ,A,,,,volume1,171,9
v1:8.9.21,8.9.21,1,8,9,21,MCQ,C,,,,volume1,171,10
v1:8.9.22,8.9.22,1,8,9,22,MCQ,A,,,,volume1,171,10
v1:8.9.23,8.9.23,1,8,9,23,MCQ,C,,,,volume1,171,10
v1:8.9.24,8.9.24,1,8,9,24,MCQ,A,,,,volume1,171,10
v1:8.9.27,8.9.27,1,8,9,27,MCQ,C,,,,volume1,171,11
v1:8.9.28,8.9.28,1,8,9,28,MCQ,C,,,,volume1,171,11
v1:8.9.29,8.9.29,1,8,9,29,MCQ,C,,,,volume1,171,11
v1:8.9.30,8.9.30,1,8,9,30,MCQ,B,,,,volume1,171,11
v1:8.9.31,8.9.31,1,8,9,31,MCQ,C,,,,volume1,171,12
v1:8.9.32,8.9.32,1,8,9,32,MCQ,B,,,,volume1,171,12
v1:8.9.33,8.9.33,1,8,9,33,MCQ,A,,,,volume1,171,12
v1:8.9.34,8.9.34,1,8,9,34,MCQ,B,,,,volume1,171,12
v1:8.9.36,8.9.36,1,8,9,36,MCQ,C,,,,volume1,171,13
v1:8.9.37,8.9.37,1,8,9,37,MCQ,B,,,,volume1,171,13
v1:8.9.38,8.9.38,1,8,9,38,MCQ,C,,,,volume1,171,13
v1:8.9.39,8.9.39,1,8,9,39,MCQ,C,,,,volume1,171,13
v1:8.10.1,8.10.1,1,8,10,1,MCQ,A,,,,volume1,171,13
v1:8.10.2,8.10.2,1,8,10,2,NAT,,,3.0,0.01,volume1,171,14
v1:8.10.3,8.10.3,1,8,10,3,MCQ,B,,,,volume1,171,14
v1:8.11.1,8.11.1,1,8,11,1,MCQ,D,,,,volume1,171,14
v1:8.11.2,8.11.2,1,8,11,2,MCQ,A,,,,volume1,171,14
v1:8.11.3,8.11.3,1,8,11,3,MCQ,D,,,,volume1,171,14
v1:8.11.4,8.11.4,1,8,11,4,MCQ,D,,,,volume1,171,15
v1:8.11.5,8.11.5,1,8,11,5,MCQ,C,,,,volume1,171,15
v1:8.11.6,8.11.6,1,8,11,6,MSQ,,C;D,,,volume1,171,15
v1:8.12.1,8.12.1,1,8,12,1,MCQ,B,,,,volume1,171,15
v1:8.12.2,8.12.2,1,8,12,2,MCQ,D,,,,volume1,171,15
v1:8.12.3,8.12.3,1,8,12,3,MCQ,D,,,,volume1,171,16
v1:8.12.4,8.12.4,1,8,12,4,MCQ,D,,,,volume1,171,16
v1:8.12.5,8.12.5,1,8,12,5,MCQ,B,,,,volume1,171,16
v1:8.12.6,8.12.6,1,8,12,6,MCQ,C,,,,volume1,171,16
v1:8.13.1,8.13.1,1,8,13,1,MCQ,C,,,,volume1,171,16
v1:8.13.2,8.13.2,1,8,13,2,MCQ,A,,,,volume1,171,17
v1:8.13.3,8.13.3,1,8,13,3,MCQ,C,,,,volume1,171,17
v1:8.13.4,8.13.4,1,8,13,4,MCQ,A,,,,volume1,171,17
v1:8.13.5,8.13.5,1,8,13,5,MCQ,C,,,,volume1,171,17
v1:8.13.6,8.13.6,1,8,13,6,MCQ,A,,,,volume1,171,17
v1:8.14.1,8.14.1,1,8,14,1,MCQ,C,,,,volume1,171,18
v1:8.14.2,8.14.2,1,8,14,2,MCQ,A,,,,volume1,171,18
v1:8.14.3,8.14.3,1,8,14,3,MCQ,A,,,,volume1,171,18
v1:8.14.4,8.14.4,1,8,14,4,MCQ,D,,,,volume1,171,18
v1:8.15.1,8.15.1,1,8,15,1,MCQ,C,,,,volume1,171,18
v1:8.15.2,8.15.2,1,8,15,2,MCQ,B,,,,volume1,171,19
v1:8.15.3,8.15.3,1,8,15,3,MCQ,B,,,,volume1,171,19
v1:8.15.4,8.15.4,1,8,15,4,MCQ,D,,,,volume1,171,19
v1:8.15.5,8.15.5,1,8,15,5,MCQ,C,,,,volume1,171,19
v1:8.15.6,8.15.6,1,8,15,6,MCQ,C,,,,volume1,171,19
v1:8.15.7,8.15.7,1,8,15,7,MCQ,A,,,,volume1,171,20
v1:8.15.8,8.15.8,1,8,15,8,MCQ,B,,,,volume1,171,20
v1:8.15.9,8.15.9,1,8,15,9,MCQ,A,,,,volume1,171,20
v1:8.15.10,8.15.10,1,8,15,10,MCQ,B,,,,volume1,171,20
v1:8.15.11,8.15.11,1,8,15,11,MCQ,C,,,,volume1,171,20
v1:8.15.12,8.15.12,1,8,15,12,MCQ,B,,,,volume1,171,21
v1:8.16.1,8.16.1,1,8,16,1,MCQ,C,,,,volume1,171,21
v1:8.16.2,8.16.2,1,8,16,2,MCQ,D,,,,volume1,171,21
v1:8.16.3,8.16.3,1,8,16,3,MCQ,D,,,,volume1,171,21
v1:8.16.4,8.16.4,1,8,16,4,MCQ,D,,,,volume1,171,21
v1:8.16.5,8.16.5,1,8,16,5,MSQ,,C;D,,,volume1,171,22
v1:8.16.6,8.16.6,1,8,16,6,MCQ,A,,,,volume1,171,22
v1:8.16.7,8.16.7,1,8,16,7,MCQ,B,,,,volume1,171,22
v1:8.16.8,8.16.8,1,8,16,8,MCQ,D,,,,volume1,171,22
v1:8.16.9,8.16.9,1,8,16,9,MCQ,D,,,,volume1,171,22
v1:8.16.10,8.16.10,1,8,16,10,MCQ,D,,,,volume1,171,23
v1:8.16.11,8.16.11,1,8,16,11,MCQ,B,,,,volume1,171,23
v1:8.16.12,8.16.12,1,8,16,12,MCQ,D,,,,volume1,171,23
v1:8.16.13,8.16.13,1,8,16,13,MCQ,C,,,,volume1,171,23
v1:8.16.14,8.16.14,1,8,16,14,MCQ,B,,,,volume1,171,23
v1:8.16.15,8.16.15,1,8,16,15,MCQ,D,,,,volume1,171,24
v1:8.16.16,8.16.16,1,8,16,16,MCQ,A,,,,volume1,171,24
v1:8.16.17,8.16.17,1,8,16,17,MCQ,A,,,,volume1,171,24
v1:8.16.18,8.16.18,1,8,16,18,MCQ,C,,,,volume1,171,24
v1:8.16.19,8.16.19,1,8,16,19,MCQ,A,,,,volume1,171,24
v1:8.16.20,8.16.20,1,8,16,20,MCQ,C,,,,volume1,171,25
v1:8.16.21,8.16.21,1,8,16,21,MCQ,A,,,,volume1,171,25
v1:8.16.22,8.16.22,1,8,16,22,MCQ,D,,,,volume1,171,25
v1:8.16.23,8.16.23,1,8,16,23,MCQ,B,,,,volume1,171,25
v1:8.16.24,8.16.24,1,8,16,24,MCQ,D,,,,volume1,171,25
v1:8.16.25,8.16.25,1,8,16,25,MCQ,B,,,,volume1,171,26
v1:8.16.26,8.16.26,1,8,16,26,MCQ,C,,,,volume1,171,26
v1:8.16.27,8.16.27,1,8,16,27,MCQ,B,,,,volume1,171,26
v1:8.16.28,8.16.28,1,8,16,28,MCQ,C,,,,volume1,171,26
v1:8.16.29,8.16.29,1,8,16,29,MCQ,D,,,,volume1,171,26
v1:8.16.30,8.16.30,1,8,16,30,MCQ,B,,,,volume1,171,27
v1:8.16.31,8.16.31,1,8,16,31,MCQ,D,,,,volume1,171,27
v1:8.16.32,8.16.32,1,8,16,32,MCQ,C,,,,volume1,171,27
v1:8.16.33,8.16.33,1,8,16,33,MCQ,C,,,,volume1,171,27
v1:9.1.1,9.1.1,1,9,1,1,MCQ,D,,,,volume1,279,23
v1:9.1.2,9.1.2,1,9,1,2,MCQ,B,,,,volume1,279,23
v1:9.1.3,9.1.3,1,9,1,3,MCQ,A,,,,volume1,279,23
v1:9.1.4,9.1.4,1,9,1,4,MCQ,D,,,,volume1,279,24
v1:9.1.5,9.1.5,1,9,1,5,MCQ,B,,,,volume1,279,24
v1:9.1.6,9.1.6,1,9,1,6,MCQ,B,,,,volume1,279,24
v1:9.1.7,9.1.7,1,9,1,7,MCQ,B,,,,volume1,279,24
v1:9.2.1,9.2.1,1,9,2,1,MCQ,D,,,,volume1,279,24
v1:9.3.1,9.3.1,1,9,3,1,MCQ,B,,,,volume1,279,25
v1:9.3.2,9.3.2,1,9,3,2,MCQ,D,,,,volume1,279,25
v1:9.3.3,9.3.3,1,9,3,3,MCQ,B,,,,volume1,279,25
v1:9.3.4,9.3.4,1,9,3,4,MCQ,A,,,,volume1,279,25
v1:9.3.5,9.3.5,1,9,3,5,MCQ,B,,,,volume1,279,25
v1:9.3.6,9.3.6,1,9,3,6,MCQ,B,,,,volume1,279,26
v1:9.4.1,9.4.1,1,9,4,1,MCQ,A,,,,volume1,279,26
v1:9.4.2,9.4.2,1,9,4,2,MCQ,D,,,,volume1,279,26
v1:9.4.3,9.4.3,1,9,4,3,MCQ,B,,,,volume1,279,26
v1:9.5.1,9.5.1,1,9,5,1,MCQ,A,,,,volume1,279,26
v1:9.5.2,9.5.2,1,9,5,2,MCQ,A,,,,volume1,279,27
v1:9.6.1,9.6.1,1,9,6,1,MCQ,C,,,,volume1,279,27
v1:9.6.2,9.6.2,1,9,6,2,MCQ,B,,,,volume1,279,27
v1:9.6.3,9.6.3,1,9,6,3,MCQ,B,,,,volume1,279,27
v1:9.6.4,9.6.4,1,9,6,4,MCQ,C,,,,volume1,279,27
v1:9.6.5,9.6.5,1,9,6,5,MCQ,A,,,,volume1,279,28
v1:9.6.6,9.6.6,1,9,6,6,MCQ,A,,,,volume1,279,28
v1:9.6.7,9.6.7,1,9,6,7,MCQ,D,,,,volume1,279,28
v1:9.6.8,9.6.8,1,9,6,8,MCQ,C,,,,volume1,279,28
v1:9.6.9,9.6.9,1,9,6,9,MCQ,C,,,,volume1,279,28
v1:9.7.1,9.7.1,1,9,7,1,MCQ,C,,,,volume1,279,29
v1:9.7.2,9.7.2,1,9,7,2,MCQ,A,,,,volume1,279,29
v1:9.7.3,9.7.3,1,9,7,3,MCQ,C,,,,volume1,279,29
v1:9.8.1,9.8.1,1,9,8,1,MCQ,C,,,,volume1,279,29
v1:9.8.2,9.8.2,1,9,8,2,NAT,,,2006.0,0.01,volume1,279,29
v1:9.8.3,9.8.3,1,9,8,3,MCQ,C,,,,volume1,279,30
v1:9.8.4,9.8.4,1,9,8,4,MCQ,A,,,,volume1,279,30
v1:9.8.5,9.8.5,1,9,8,5,MCQ,B,,,,volume1,279,30
v1:9.8.6,9.8.6,1,9,8,6,MCQ,B,,,,volume1,279,30
v1:9.8.7,9.8.7,1,9,8,7,MCQ,A,,,,volume1,279,30
v1:9.8.8,9.8.8,1,9,8,8,MCQ,A,,,,volume1,279,31
v1:9.8.9,9.8.9,1,9,8,9,MCQ,B,,,,volume1,279,31
v1:9.8.10,9.8.10,1,9,8,10,MCQ,C,,,,volume1,279,31
v1:9.8.11,9.8.11,1,9,8,11,MCQ,C,,,,volume1,279,31
v1:9.8.12,9.8.12,1,9,8,12,MCQ,C,,,,volume1,279,31
v1:9.8.13,9.8.13,1,9,8,13,MCQ,D,,,,volume1,279,32
v1:9.8.14,9.8.14,1,9,8,14,MCQ,C,,,,volume1,279,32
v1:9.8.15,9.8.15,1,9,8,15,MCQ,C,,,,volume1,279,32
v1:9.8.16,9.8.16,1,9,8,16,MCQ,D,,,,volume1,279,32
v1:9.8.17,9.8.17,1,9,8,17,MCQ,C,,,,volume1,279,32
v1:9.8.18,9.8.18,1,9,8,18,MCQ,A,,,,volume1,279,33
v1:9.9.1,9.9.1,1,9,9,1,MCQ,C,,,,volume1,279,33
v1:9.9.2,9.9.2,1,9,9,2,MCQ,A,,,,volume1,279,33
v1:9.10.1,9.10.1,1,9,10,1,MCQ,B,,,,volume1,279,33
v1:9.10.2,9.10.2,1,9,10,2,MCQ,C,,,,volume1,279,33
v1:9.10.3,9.10.3,1,9,10,3,MCQ,A,,,,volume1,279,34
v1:9.10.4,9.10.4,1,9,10,4,MCQ,C,,,,volume1,279,34
v1:9.10.5,9.10.5,1,9,10,5,MCQ,C,,,,volume1,279,34
v1:9.10.6,9.10.6,1,9,10,6,MCQ,C,,,,volume1,279,34
v1:9.10.7,9.10.7,1,9,10,7,MCQ,C,,,,volume1,279,34
v1:9.10.8,9.10.8,1,9,10,8,MCQ,A,,,,volume1,279,35
v1:9.10.9,9.10.9,1,9,10,9,MCQ,B,,,,volume1,279,35
v1:9.10.10,9.10.10,1,9,10,10,MCQ,C,,,,volume1,279,35
v1:9.11.1,9.11.1,1,9,11,1,MCQ,D,,,,volume1,279,35
v1:9.11.2,9.11.2,1,9,11,2,MCQ,A,,,,volume1,279,35
v1:9.11.3,9.11.3,1,9,11,3,MCQ,C,,,,volume1,279,36
v1:9.11.4,9.11.4,1,9,11,4,MCQ,A,,,,volume1,279,36
v1:9.11.5,9.11.5,1,9,11,5,MCQ,C,,,,volume1,279,36
v1:9.11.6,9.11.6,1,9,11,6,MCQ,A,,,,volume1,279,36
v1:9.11.7,9.11.7,1,9,11,7,MCQ,B,,,,volume1,279,36
v1:9.12.1,9.12.1,1,9,12,1,MCQ,A,,,,volume1,279,37
v1:9.12.2,9.12.2,1,9,12,2,MCQ,C,,,,volume1,279,37
v1:9.12.3,9.12.3,1,9,12,3,MCQ,B,,,,volume1,279,37
v1:9.12.4,9.12.4,1,9,12,4,MCQ,A,,,,volume1,279,37
v1:9.12.6,9.12.6,1,9,12,6,MCQ,A,,,,volume1,279,38
v1:9.12.7,9.12.7,1,9,12,7,MCQ,D,,,,volume1,279,38
v1:9.12.8,9.12.8,1,9,12,8,MCQ,B,,,,volume1,279,38
v1:9.12.9,9.12.9,1,9,12,9,MCQ,B,,,,volume1,279,38
v1:9.12.10,9.12.10,1,9,12,10,MCQ,D,,,,volume1,279,38
v1:9.13.1,9.13.1,1,9,13,1,MCQ,B,,,,volume1,279,39
v1:9.13.2,9.13.2,1,9,13,2,MCQ,C,,,,volume1,279,39
v1:9.13.3,9.13.3,1,9,13,3,MCQ,D,,,,volume1,279,39
v1:9.13.4,9.13.4,1,9,13,4,MCQ,C,,,,volume1,279,39
v1:9.13.5,9.13.5,1,9,13,5,MCQ,D,,,,volume1,279,39
v1:9.13.6,9.13.6,1,9,13,6,MCQ,B,,,,volume1,279,40
v1:9.13.7,9.13.7,1,9,13,7,NAT,,,4536.0,0.01,volume1,279,40
v1:9.13.8,9.13.8,1,9,13,8,MCQ,B,,,,volume1,279,40
v1:9.13.9,9.13.9,1,9,13,9,MCQ,C,,,,volume1,279,40
v1:9.13.10,9.13.10,1,9,13,10,MCQ,C,,,,volume1,279,40
v1:9.13.11,9.13.11,1,9,13,11,MCQ,D,,,,volume1,280,0
v1:9.13.12,9.13.12,1,9,13,12,MCQ,B,,,,volume1,280,0
v1:9.14.1,9.14.1,1,9,14,1,NAT,,,3.0,0.01,volume1,280,0
v1:9.14.2,9.14.2,1,9,14,2,MCQ,C,,,,volume1,280,0
v1:9.14.3,9.14.3,1,9,14,3,MCQ,D,,,,volume1,280,0
v1:9.14.4,9.14.4,1,9,14,4,MCQ,A,,,,volume1,280,1
v1:9.15.1,9.15.1,1,9,15,1,MCQ,B,,,,volume1,280,1
v1:9.15.2,9.15.2,1,9,15,2,MCQ,B,,,,volume1,280,1
v1:9.15.3,9.15.3,1,9,15,3,MCQ,C,,,,volume1,280,1
v1:9.15.5,9.15.5,1,9,15,5,MCQ,B,,,,volume1,280,2
v1:9.15.6,9.15.6,1,9,15,6,MCQ,B,,,,volume1,280,2
v1:9.16.1,9.16.1,1,9,16,1,MCQ,A,,,,volume1,280,2
v1:9.17.1,9.17.1,1,9,17,1,MCQ,C,,,,volume1,280,2
v1:9.17.2,9.17.2,1,9,17,2,MCQ,C,,,,volume1,280,3
v1:9.17.3,9.17.3,1,9,17,3,MCQ,C,,,,volume1,280,3
v1:9.17.4,9.17.4,1,9,17,4,MCQ,B,,,,volume1,280,3
v1:9.18.1,9.18.1,1,9,18,1,MCQ,C,,,,volume1,280,3
v1:9.18.2,9.18.2,1,9,18,2,MCQ,A,,,,volume1,280,3
v1:9.18.3,9.18.3,1,9,18,3,MCQ,A,,,,volume1,280,4
v1:9.18.4,9.18.4,1,9,18,4,MCQ,C,,,,volume1,280,4
v1:9.18.5,9.18.5,1,9,18,5,MCQ,B,,,,volume1,280,4
v1:9.18.6,9.18.6,1,9,18,6,NAT,,,1300.0,0.01,volume1,280,4
v1:9.19.1,9.19.1,1,9,19,1,MCQ,A,,,,volume1,280,4
v1:9.19.2,9.19.2,1,9,19,2,MCQ,C,,,,volume1,280,5
v1:9.19.3,9.19.3,1,9,19,3,MCQ,A,,,,volume1,280,5
v1:9.19.4,9.19.4,1,9,19,4,MCQ,A,,,,volume1,280,5
v1:9.19.5,9.19.5,1,9,19,5,MCQ,D,,,,volume1,280,5
v1:9.19.6,9.19.6,1,9,19,6,MCQ,C,,,,volume1,280,5
v1:9.20.1,9.20.1,1,9,20,1,MCQ,D,,,,volume1,280,6
v1:9.20.2,9.20.2,1,9,20,2,MCQ,B,,,,volume1,280,6
v1:9.21.1,9.21.1,1,9,21,1,MCQ,A,,,,volume1,280,6
v1:9.22.1,9.22.1,1,9,22,1,MCQ,B,,,,volume1,280,6
v1:9.22.2,9.22.2,1,9,22,2,MCQ,A,,,,volume1,280,6
v1:9.23.1,9.23.1,1,9,23,1,MCQ,D,,,,volume1,280,7
v1:9.23.2,9.23.2,1,9,23,2,MCQ,B,,,,volume1,280,7
v1:9.23.3,9.23.3,1,9,23,3,MCQ,B,,,,volume1,280,7
v1:9.23.4,9.23.4,1,9,23,4,MCQ,C,,,,volume1,280,7
v1:9.23.5,9.23.5,1,9,23,5,MCQ,C,,,,volume1,280,7
v1:9.24.1,9.24.1,1,9,24,1,MCQ,C,,,,volume1,280,8
v1:9.25.1,9.25.1,1,9,25,1,MCQ,D,,,,volume1,280,8
v1:9.25.2,9.25.2,1,9,25,2,MCQ,C,,,,volume1,280,8
v1:9.25.3,9.25.3,1,9,25,3,MCQ,C,,,,volume1,280,8
v1:9.25.4,9.25.4,1,9,25,4,NAT,,,3.0,0.01,volume1,280,8
v1:9.26.1,9.26.1,1,9,26,1,MCQ,B,,,,volume1,280,9
v1:9.26.2,9.26.2,1,9,26,2,MCQ,C,,,,volume1,280,9
v1:9.26.3,9.26.3,1,9,26,3,MCQ,A,,,,volume1,280,9
v1:9.26.4,9.26.4,1,9,26,4,MCQ,C,,,,volume1,280,9
v1:9.27.1,9.27.1,1,9,27,1,NAT,,,8.0,0.01,volume1,280,9
v1:9.27.2,9.27.2,1,9,27,2,MCQ,C,,,,volume1,280,10
v1:9.27.3,9.27.3,1,9,27,3,MCQ,B,,,,volume1,280,10
v1:9.27.4,9.27.4,1,9,27,4,MCQ,C,,,,volume1,280,10
v1:9.27.5,9.27.5,1,9,27,5,MCQ,B,,,,volume1,280,10
v1:9.27.6,9.27.6,1,9,27,6,MCQ,C,,,,volume1,280,10
v1:9.27.7,9.27.7,1,9,27,7,MCQ,B,,,,volume1,280,11
v1:9.27.8,9.27.8,1,9,27,8,MCQ,A,,,,volume1,280,11
v1:9.27.9,9.27.9,1,9,27,9,MCQ,A,,,,volume1,280,11
v1:9.27.10,9.27.10,1,9,27,10,MCQ,B,,,,volume1,280,11
v1:9.27.11,9.27.11,1,9,27,11,MCQ,A,,,,volume1,280,11
v1:9.27.12,9.27.12,1,9,27,12,MCQ,D,,,,volume1,280,12
v1:9.27.13,9.27.13,1,9,27,13,MCQ,A,,,,volume1,280,12
v1:9.27.14,9.27.14,1,9,27,14,MCQ,A,,,,volume1,280,12
v1:9.27.15,9.27.15,1,9,27,15,MCQ,C,,,,volume1,280,12
v1:9.27.16,9.27.16,1,9,27,16,MCQ,A,,,,volume1,280,12
v1:9.27.17,9.27.17,1,9,27,17,MCQ,C,,,,volume1,280,13
v1:9.27.18,9.27.18,1,9,27,18,MCQ,A,,,,volume1,280,13
v1:9.28.1,9.28.1,1,9,28,1,MCQ,A,,,,volume1,280,13
v1:9.28.3,9.28.3,1,9,28,3,MCQ,B,,,,volume1,280,13
v1:9.28.4,9.28.4,1,9,28,4,NAT,,,6.0,0.01,volume1,280,14
v1:9.28.5,9.28.5,1,9,28,5,MCQ,A,,,,volume1,280,14
v1:9.28.6,9.28.6,1,9,28,6,MCQ,D,,,,volume1,280,14
v1:9.28.7,9.28.7,1,9,28,7,MCQ,A,,,,volume1,280,14
v1:9.28.8,9.28.8,1,9,28,8,MCQ,B,,,,volume1,280,14
v1:9.28.9,9.28.9,1,9,28,9,MCQ,B,,,,volume1,280,15
v1:9.28.10,9.28.10,1,9,28,10,MCQ,A,,,,volume1,280,15
v1:9.28.11,9.28.11,1,9,28,11,MCQ,A,,,,volume1,280,15
v1:9.28.12,9.28.12,1,9,28,12,MCQ,B,,,,volume1,280,15
v1:9.28.13,9.28.13,1,9,28,13,MCQ,D,,,,volume1,280,15
v1:9.28.14,9.28.14,1,9,28,14,MCQ,A,,,,volume1,280,16
v1:9.28.15,9.28.15,1,9,28,15,NAT,,,2.06,0.01,volume1,280,16
v1:9.28.16,9.28.16,1,9,28,16,MCQ,D,,,,volume1,280,16
v1:9.28.17,9.28.17,1,9,28,17,MCQ,B,,,,volume1,280,16
v1:9.28.18,9.28.18,1,9,28,18,MCQ,B,,,,volume1,280,16
v1:9.28.19,9.28.19,1,9,28,19,MCQ,D,,,,volume1,280,17
v1:9.28.21,9.28.21,1,9,28,21,MCQ,D,,,,volume1,280,17
v1:9.28.22,9.28.22,1,9,28,22,MCQ,C,,,,volume1,280,17
v1:9.28.23,9.28.23,1,9,28,23,MCQ,B,,,,volume1,280,17
v1:9.28.24,9.28.24,1,9,28,24,MCQ,B,,,,volume1,280,18
v1:9.28.25,9.28.25,1,9,28,25,MCQ,A,,,,volume1,280,18
v1:9.28.26,9.28.26,1,9,28,26,MCQ,C,,,,volume1,280,18
v1:9.28.27,9.28.27,1,9,28,27,MCQ,C,,,,volume1,280,18
v1:9.28.28,9.28.28,1,9,28,28,MCQ,A,,,,volume1,280,18
v1:9.28.29,9.28.29,1,9,28,29,MCQ,C,,,,volume1,280,19
v1:9.29.1,9.29.1,1,9,29,1,MCQ,A,,,,volume1,280,19
v1:9.30.1,9.30.1,1,9,30,1,MCQ,A,,,,volume1,280,19
v1:9.30.2,9.30.2,1,9,30,2,MCQ,C,,,,volume1,280,19
v1:9.30.3,9.30.3,1,9,30,3,MCQ,C,,,,volume1,280,19
v1:9.30.4,9.30.4,1,9,30,4,MCQ,A,,,,volume1,280,20
v1:9.31.1,9.31.1,1,9,31,1,MCQ,A,,,,volume1,280,20
v1:9.32.1,9.32.1,1,9,32,1,NAT,,,140.0,0.01,volume1,280,20
